id,BTC_USD,ETH_USD,BNB_USD,XRP_USD,ADA_USD,SOL_USD,DOGE_USD,TRX_USD,DAI_USD,UNI_USD,AVAX_USD,LTC_USD,LINK_USD,XLM_USD,MATIC_USD,DOT_USD,LEO_USD,WBTC_USD,YOUC_USD,STETH_USD,FTT_USD,CRO_USD,ATOM_USD,NEAR_USD,XMR_USD,ALGO_USD,BTCB_USD,ETC_USD,BCH_USD,VET_USD,MANA_USD,SAND_USD,XTZ_USD,HBAR_USD,FRAX_USD,EGLD_USD,AAVE_USD,FIL_USD,QNT_USD,THETA_USD,AXS_USD,WBNB_USD,HNT_USD,BSV_USD,EOS_USD,KCS_USD,MKR_USD,ZEC_USD,HBTC_USD,OKB_USD,RUNE_USD,MIOTA_USD,LUNA1_USD,HT_USD,GRT1_USD,KLAY_USD,FTM_USD,CHZ_USD,NEO_USD,CRV_USD,BAT_USD,PAXG_USD,WAVES_USD,BTT_USD,DFI_USD,STX_USD,ZIL_USD,DASH_USD,AR_USD,KSM_USD,CAKE_USD,ENJ_USD,UST_USD,XAUT_USD,COMP1_USD,CELO_USD
"Oct 14, 2021",197.9230758,488.7754152,1259.496119,513.2647422,1206.774636,9807.150531,4967.364681,365.1958505,99.72722573,395.4022973,1758.908406,142.455583,227.2451315,286.4088109,7038.609011,447.8546734,206.6726163,198.1994264,1896.247411,489.8053049,937.4523913,319.9777978,533.6201464,520.5974302,175.602456,550.4379971,196.9703164,940.39707,173.299491,614.6455672,980.9970816,2092.16339,362.3966175,1126.480505,100.0373711,981.9431973,340.0979498,280.3598341,2506.651595,327.8602264,22619.77133,1302.461614,1497.747899,105.0830262,177.021439,1682.252688,424.6282629,186.5991759,205.9809082,208.0965326,626.0575026,461.1442434,5611.570967,171.0087473,201.6494273,327.3123098,11894.76571,1527.861285,313.1232214,472.4271022,353.3932644,92.94517862,513.6830309,1301.384134,178.5967313,563.5619951,114.0513495,184.2558455,2022.225261,509.8775092,3254.936255,1211.759812,100.4319571,93.42365619,203.4590756,384.7208544
"Oct 15, 2021",197.6486982,513.1467449,1262.901256,515.0496336,1196.471209,9911.77472,4960.978378,362.0877258,99.68089638,329.8850591,1788.523565,144.4525836,236.4348974,287.7042844,7163.012451,438.5801949,197.2184253,198.3881892,1939.3181,514.5122687,960.2559211,319.7966669,520.1765939,575.5075638,170.1690546,540.1015049,196.1287457,958.8597812,174.2055728,633.3706219,988.4819585,2197.394439,353.8460756,1220.363766,100.5907165,980.4641937,346.7502969,288.5857091,2583.239703,325.7937873,25303.18039,1307.562981,1548.614809,105.3551594,177.6091213,1710.384252,432.6565263,189.8649319,205.7039733,208.7356105,656.7696491,458.1687592,5693.505229,171.8586708,204.0303273,333.1231263,11963.34644,1543.711954,313.108168,458.77189,351.9167613,93.29954479,520.2057895,1296.88583,179.1538965,557.3718392,119.2210901,186.9639509,1988.253724,485.9670149,3185.878215,1236.962405,100.4318615,93.53280499,209.5933166,400.5865548
"Oct 16, 2021",212.3803268,523.5317072,1267.396748,518.7949936,1220.886253,10761.56083,4993.208108,367.1002149,99.63706105,354.0229731,1793.944614,151.4264526,239.070619,281.5564441,8978.647705,464.4291029,209.5066199,212.6824162,1939.185154,524.9399567,986.9068581,325.0610989,508.3807769,563.5217173,174.8101645,524.7707057,211.0314312,956.8531911,182.0431524,637.3701756,967.5020764,2079.065013,339.6364257,1141.475293,99.44233128,959.859346,343.8453081,276.0654335,2572.830885,336.6067751,23366.74676,1311.769651,1626.602237,105.8026132,178.4841564,1776.59478,436.9763146,197.064735,220.6904699,214.7048255,681.8214264,435.0769458,5662.584037,172.1361902,231.0613532,327.8856479,11384.31069,1494.426744,311.7649504,460.6034068,346.5992127,91.86765027,485.1929593,1256.401413,185.7900516,503.1932764,116.3718609,194.3213245,2052.521193,483.7583382,3175.340519,1231.427679,100.325072,91.92448351,211.125467,397.0013613
"Oct 17, 2021",209.9605755,519.1602601,1245.831644,516.3141372,1200.523077,10426.83351,5068.176356,367.7934051,99.62600424,349.4252704,1833.235422,149.3213717,241.5898743,308.5635186,8541.564113,449.3687282,213.7958543,210.1741065,1905.955268,520.5231277,976.8983262,326.8654316,510.371842,562.6230105,171.2523863,537.8874039,208.1696391,952.7411093,182.5727068,637.9560006,1029.094865,2103.057334,342.4496283,1169.862728,103.4535808,978.0476209,347.9464196,273.1250589,2747.759728,329.892206,23271.17524,1294.69817,1684.446062,104.9786321,175.9660007,1852.519789,442.0262513,197.085004,218.402715,206.1665484,689.0344715,437.0547665,5607.854601,175.0514745,228.364844,322.9718235,12659.5895,1533.420505,310.4914581,462.7019787,358.7333521,91.74572367,471.0417101,1255.017319,185.1513428,496.2855063,117.9023425,191.038441,1965.818718,472.2896318,3165.064767,1309.52356,100.3683902,91.94117094,211.2005333,398.044613
"Oct 18, 2021",212.2412591,521.4267733,1259.163966,497.3790627,1189.084185,10572.77232,5081.119552,367.7934051,99.64443622,354.0229731,1788.404341,147.3494699,235.4890702,298.0891063,8260.278737,452.7728268,211.505693,212.431321,1973.599676,522.5602332,976.9587909,322.7338698,499.203994,558.70675,166.5709884,529.3210648,210.9635524,934.7193575,178.3083562,651.0252088,979.2296836,2029.801278,328.8928996,1119.019204,100.9698529,957.3573651,348.0508441,260.405824,2682.443968,320.6100371,23156.0342,1302.779068,1677.133738,103.3590459,169.8816844,1907.041792,434.589003,214.9427781,220.9212396,205.9583773,663.1750077,421.7610466,5546.033261,171.6102647,221.8416493,330.6872635,13573.96113,1456.829819,302.0400176,456.6123409,346.6367678,91.97383175,465.4096862,1247.404885,183.4909315,553.1424018,113.5492506,187.0230066,1960.480396,487.8759426,3122.023309,1255.012351,100.4640513,92.3019922,207.531386,416.458193
"Oct 19, 2021",213.8703381,508.097445,1297.920014,493.0005832,1173.262473,10406.47867,5281.525221,365.7436833,99.58506079,356.3218412,1769.177377,148.8140725,228.0687554,295.892343,8388.339649,443.1921876,214.4830993,214.0927928,1961.511988,509.243821,961.1482219,319.222568,491.0639855,562.5934628,163.8384415,519.9206818,211.5991868,924.4859835,178.1551156,631.3628498,957.6836216,2064.092883,325.0649147,1121.218308,101.4311807,934.384873,336.0216631,260.2967426,2581.358578,314.1895902,22752.61537,1341.601113,1635.814827,102.82306,170.17726,1855.215524,427.202791,220.1718795,222.4212709,209.3687058,655.6511665,419.4167561,5489.652302,173.6616306,219.7512308,327.8691671,13102.95875,1498.579801,299.8066236,444.8119055,340.5849829,91.64122419,454.3924872,1235.986193,181.1133756,653.0747748,112.7229207,187.5835837,1931.149458,503.8966519,3179.155987,1246.437019,100.4578357,91.79677121,203.9190424,415.8747039
"Oct 20, 2021",221.5799292,525.566953,1306.047794,496.7477327,1164.827389,10326.11264,5249.636989,374.9450241,99.62182379,368.9655152,1811.991745,151.5272517,230.1242442,291.2861117,8347.444908,445.3481619,219.6498989,221.9110639,1903.187816,526.8214999,988.7332895,320.3212438,541.0155396,587.0301894,162.839506,512.2602249,219.7935248,932.2331074,180.4635273,618.6451605,987.5413978,2055.403541,335.1382926,1179.802703,100.4467529,932.8695757,346.7999465,258.5517997,2540.403424,318.9367175,22693.93939,1350.074489,1709.969186,104.1886128,171.8400195,2032.917219,425.0016144,225.6673624,230.556672,252.2295213,641.0751,420.0102469,5782.747702,179.6878981,222.7227807,329.244563,13880.61256,1477.926733,300.1044947,445.2240993,340.8900216,92.00995698,460.929788,1245.328744,187.1973033,593.2396705,110.830691,194.6789063,2088.434189,528.5191137,3227.348006,1229.494456,100.4209363,92.06052044,204.7544424,412.1443562
"Oct 21, 2021",227.5480018,563.2926271,1340.48553,519.6037446,1205.064014,11645.18515,5427.018421,384.0942195,99.6015985,379.3103546,1899.46651,165.9076533,243.2817657,304.5703742,8687.512165,477.2517291,233.2379158,228.0101411,1913.028454,564.2189529,1062.315893,326.2400793,552.5878163,624.4581691,166.1408405,535.4248134,226.3542399,977.8328576,187.8417411,650.1304804,1040.965674,2176.035703,347.4753137,1261.195035,100.4810043,973.9236909,360.628925,274.4587221,2630.844686,334.3528972,23654.37402,1389.48377,1739.027073,107.6404711,185.2890576,2157.955044,441.810501,233.7430104,236.7383035,331.7822255,678.9785229,438.3441363,6521.599467,218.134575,249.725802,336.9595909,14344.4197,1532.584325,317.4744312,466.7695791,355.3961667,92.40275639,471.9126452,1307.266451,191.0093209,607.1291716,115.8056442,201.9982576,2151.277322,525.1330698,3270.235109,1415.505281,100.354154,92.91620936,214.9975395,443.2170123
"Oct 22, 2021",214.5051065,549.5126103,1260.853225,495.4900612,1177.853486,12596.37887,5177.08278,370.8940607,99.58824957,357.4712752,1955.276068,157.8864998,250.8162961,290.2718762,8532.041837,461.0867044,234.6579015,214.9619,2028.603004,551.8139397,1066.944848,322.0230697,528.7006157,674.8568828,172.753723,533.5921007,214.1312401,976.2288621,181.8206484,687.990596,1006.971198,2121.891653,330.4151204,1188.618033,100.8574461,1008.782838,359.9123183,261.1635673,2549.384891,321.4914302,22258.59677,1311.066832,1676.774327,104.3797113,179.6975141,2043.428651,437.9604385,242.2456416,223.2581182,309.8812015,789.4422283,430.4574267,6268.983634,208.6734569,266.5326192,326.0290126,13109.89907,1468.135099,313.9036811,454.6616396,346.3602985,92.56722008,450.1454492,1257.439483,180.0885653,581.6925482,113.8117976,197.5024423,2028.898635,512.002894,3184.527229,1374.925953,100.4569273,92.98658404,210.5462126,471.0240853
"Oct 23, 2021",209.2712575,538.1083706,1280.615168,495.062017,1187.560332,13000.97919,5216.168572,372.0269887,99.57908702,348.2758699,2087.482399,153.0369611,254.3006034,289.8925043,8586.701117,467.5741677,251.2784918,209.5742119,2001.66034,539.8037102,1088.954473,320.3895817,524.2642963,652.0669589,170.1443789,556.641741,208.1823964,960.8988905,181.7776635,692.4588811,1011.358349,2124.559008,332.7238661,1189.261998,100.7550752,1114.031403,354.1719337,270.3642207,2558.096811,357.5867324,24165.02417,1330.409012,1652.60963,104.4495374,177.5655852,2116.123969,429.2818464,256.8728561,217.7701496,368.9022504,931.000705,453.5714845,6684.147943,240.8984725,257.4314539,328.7192131,15440.45644,1512.328325,310.0877068,530.972538,349.3704136,93.08113038,450.5467901,1264.359871,174.7458153,556.4919501,123.0551455,195.8769019,2078.762899,520.2225386,3167.664653,1401.604054,100.3540465,93.39104447,210.700071,449.7748988
"Oct 24, 2021",211.6895677,565.4166871,1300.048143,497.8471242,1194.515329,13085.18895,5376.612902,375.4332422,99.78550261,352.8735725,2087.606246,157.4376461,279.1331472,294.9809078,9311.619734,474.0374928,236.6887092,211.9303304,2103.907307,566.6219873,1099.689044,331.671944,550.9429595,668.5379266,170.9931749,571.8492055,210.3035802,985.4433869,183.4865279,724.8815449,1014.700203,2146.677744,334.4717176,1193.333543,100.5070282,1101.542866,370.4828335,266.3098181,2645.490993,351.2790921,23391.54173,1345.583982,1648.028439,105.4707529,182.8073165,2266.076438,430.6210619,271.3609064,220.1069306,352.1754679,931.9756524,448.3386395,6618.64356,229.9679918,253.4727978,328.9314761,15087.68878,1534.536944,312.711264,587.5555855,356.5361062,93.27698312,456.9774069,1272.664433,175.8773073,562.5563904,125.0284307,198.5863248,2011.137764,531.3031574,3186.849887,1409.488298,100.6666932,93.65706406,208.1304504,441.0982703
"Oct 25, 2021",210.093865,554.0640019,1275.237283,493.2011578,1170.60092,13393.49083,5917.300382,369.8207472,99.61992953,350.5747045,2057.603365,153.1038504,264.1476031,290.4440226,8924.958568,456.1272123,239.668766,210.3921349,1764.279276,555.6969206,1072.536878,328.435725,528.1709927,690.1222106,185.06834,543.836984,209.0170535,969.4932638,180.1055212,706.9606307,995.0658837,2223.911176,321.8585443,1154.764202,100.3055019,1151.893026,352.2004198,257.2834381,2587.831788,346.6297579,22853.32729,1321.483207,1616.187295,105.4419665,183.1774101,2275.332222,415.7408668,271.5200772,218.749051,332.1258918,1059.214437,439.992869,6357.611097,233.7328178,269.0083263,320.2486856,15991.87104,1482.416155,306.3534206,557.7012696,345.2779754,93.33295098,452.476879,1248.096932,171.1612494,559.1551476,123.4773877,203.696212,1958.522822,555.8327428,3127.518646,1360.048171,100.4750841,93.64233536,205.9445902,452.4014547
"Oct 26, 2021",217.3658069,571.6803311,1296.67338,498.1477963,1181.974358,13905.92182,5653.716588,375.3139851,99.62670494,362.0689779,2226.830378,156.6276805,288.0085118,301.3196297,9496.109171,479.1668963,239.5737199,217.7092131,2040.436016,572.9061324,1136.284282,343.3643843,543.2045304,883.7061644,183.1478874,611.8857063,215.979906,975.1690278,181.2241791,758.752741,1033.970197,2264.73801,328.8122546,1215.08275,101.1990138,1195.844452,357.4111507,262.4818488,2795.801095,364.96797,24494.05243,1345.735639,1649.559576,105.3196403,185.1298535,2575.738569,421.5138392,265.8457029,226.1322315,335.5872209,1181.356965,453.5947327,6557.77572,228.5777552,295.4721274,328.371153,17993.43641,1572.535669,311.1159217,761.1230316,351.4594719,93.81356891,460.2746806,1278.200727,174.610318,561.5005355,134.0455407,208.8845798,2012.476011,558.8901569,3179.198472,1454.618225,100.5542977,94.32576976,215.2874619,490.0987334
"Oct 27, 2021",208.1386604,559.9190812,1278.961427,504.0314797,1179.058611,13224.40375,5462.025012,377.1065616,99.63826056,347.1264358,2196.419702,158.3674398,288.3894894,290.9036288,9845.318083,483.0113935,248.7132674,208.5948369,1928.59187,561.6419878,1087.111257,349.5856478,665.5635351,884.9576988,178.8339346,610.0778675,206.347892,953.9052205,178.2928951,747.5741321,1042.214195,2330.729597,338.714688,1230.130999,100.4260584,1108.129139,375.9195328,257.976287,2810.478107,376.992726,23961.66719,1326.407345,1879.943074,105.0133213,181.5890216,2390.487194,419.4439762,252.1500252,216.5178581,311.0707683,1067.721623,462.3884821,6722.605344,225.6871992,308.3168498,327.7303164,18516.58695,1590.48389,311.1792793,733.7603951,356.1414486,93.00821598,462.3034906,1297.231853,168.0413073,544.1560511,129.3488553,199.4168576,2033.070311,542.8193622,3103.338735,1540.420081,100.5546921,93.76845141,228.3204921,490.9714983
"Oct 28, 2021",201.6514376,532.697097,1201.325957,452.7951421,1054.723569,12163.26965,5076.676893,338.0389796,99.64812974,336.7815964,1961.872084,143.8236084,256.2936452,257.6583343,9980.956252,434.8713313,232.0509552,202.1277105,1609.497387,534.8905378,1005.429221,321.2439064,566.1669617,777.7598539,163.3420436,535.4682446,200.2553342,858.608823,160.0612535,660.8457145,962.7519704,2149.765891,291.9597362,1099.899503,99.67018079,996.0334309,371.0515026,227.1089321,2503.922429,330.602711,22616.41526,1251.137514,1940.482401,94.32077599,159.8443383,2199.186792,379.5761841,229.8169875,209.9831361,278.5875406,1047.481478,403.9081412,6110.685273,206.4186147,266.0584821,302.720696,18280.82452,1403.15334,274.2599115,705.5992495,320.3981862,93.37027764,459.067737,1154.671336,156.1996951,471.6192447,113.1391144,175.4103758,1770.408922,494.9198316,2895.10339,1599.331081,100.4081942,93.86708789,202.0623785,421.2462176
"Oct 29, 2021",209.0294481,581.0923092,1316.39311,481.6189659,1096.059449,12897.22959,6417.065363,355.4168558,99.71686962,348.2758699,2054.786755,152.3595627,268.1952368,267.0444754,12071.17309,450.4886082,236.6178854,209.5423178,1818.607482,582.8204445,1042.490731,344.6868894,586.2416993,815.5136101,170.8596418,553.3469266,207.4559629,920.7512333,168.9154374,692.5920448,1177.384382,2632.059147,305.0723734,1165.43306,100.7235304,1043.510187,387.6919934,238.8714331,2592.970848,345.4429697,23503.26575,1361.803189,2058.527492,99.36202587,169.7745328,2475.04037,405.8945945,248.7527833,217.4271909,283.2909329,1123.440379,422.3006128,6583.165917,217.9747303,269.344211,319.4907625,17296.78633,1504.769706,289.1241603,757.7193882,347.4301132,93.34179101,445.9770868,1219.723254,160.6529594,490.9575767,118.8726469,183.6407318,1811.163733,507.814254,2925.080623,1775.549712,100.5418544,93.99095266,208.6355547,436.0883514
"Oct 30, 2021",214.5664579,598.3635407,1417.009987,491.9366542,1109.272446,13249.25675,6148.078068,370.584742,99.62650305,286.2069003,2065.706228,157.4658777,274.4751911,281.723924,11459.03648,474.292011,242.0747378,214.9284691,1690.923141,599.9065891,1061.199179,383.5147454,607.0537967,830.1645247,171.4366352,559.9568971,213.6744494,945.3425602,173.0111397,730.9954096,1788.289017,3235.486607,324.4916919,1223.24466,100.3206695,1091.717278,374.4486638,245.75633,2556.199927,374.6992133,26517.58803,1473.852232,2148.711306,101.3765284,173.0139707,2683.867379,417.5562136,253.175753,223.3090004,278.9694328,1161.346166,437.0503899,6984.679582,216.4439778,276.9787364,332.4853434,16954.88687,1650.270917,301.5473313,738.1906714,427.4100758,92.31457745,442.0541898,1320.41526,162.6903046,502.0061693,122.02313,188.4824098,1975.698338,507.5675591,2979.231044,1876.512445,100.3409219,93.06761731,218.6268428,457.6282659
"Oct 31, 2021",213.3971038,586.2876692,1412.459135,493.0492222,1079.081768,12933.76933,5731.418413,376.8754889,99.67273738,142.5287331,1990.531017,152.7643374,264.2435414,279.3604469,10594.3909,460.0247067,244.3044663,213.2894419,1727.540344,586.9640542,1031.999538,366.9713883,573.9983906,752.0010068,167.8926566,544.7383696,210.8326224,930.2797308,170.4829818,695.2654768,4555.45893,5105.441507,312.3355067,1316.405403,100.7109676,1053.770062,363.8072655,249.4141141,2481.304641,438.6034883,27360.36741,1454.608701,2355.861097,99.00176141,172.2503454,2537.534905,405.0433648,239.3159685,221.5034532,270.3176056,1204.10696,473.2640867,6641.667841,208.5643559,262.8907128,326.2132099,15755.38894,2405.58254,296.6302729,752.8030398,622.5548319,92.55776037,431.3026863,1338.75434,158.5177206,482.9482753,123.1483071,184.6222512,1866.785591,516.6378071,2883.771301,2340.543245,100.5187012,93.02310688,212.904316,425.923424
